MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
1501,1,Division I,batonrougecommunitycollege,Nicholas Womack,,,,Wing,,,19,2.7650000000000006,2.6,2.9000000000000004,3,7.631578947368421,3.1052631578947367,3.3684210526315788,1.7894736842105263,1.368421052631579,0.15789473684210525,1.105263157894737,6.105263157894737,2.1578947368421053,2.210526315789474,1.1578947368421053,1.9473684210526316,0.5391136228435456,0.5043103448275862,86.0636277302944,0.10466416519643167,1.8823529411764706,0.20180436847103514,0.4146341463414634,0.35344827586206895,0.3620689655172414,2.3960535588442564,2.04369274136716,4.157857646229739,1.4799154334038056,Average,3,Poor,1,Poor,1,Very Good,4,Poor,1,Elite,5,Average,3,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1541,2,Division I,batonrougecommunitycollege,Amir Abdul-Rauf,,,,Wing,,,11,2.75,3.2,2.0,3,8.454545454545455,1.7272727272727273,0.5454545454545454,0.9090909090909091,0.36363636363636365,0.0,1.0,6.818181818181818,3.3636363636363638,1.1818181818181819,0.6363636363636364,1.0909090909090908,0.5760654112983151,0.56,102.51322751322752,0.09500670241286863,0.6,0.11022927689594357,0.43243243243243246,0.49333333333333335,0.17333333333333334,1.1890606420927468,0.4756242568370987,2.2592152199762188,1.3079667063020215,Very Good,4,Poor,1,Average,3,Poor,1,Very Good,4,Elite,5,Very Good,4,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1875,3,Division I,batonrougecommunitycollege,Cardez Norman,,,,Wing,,,14,2.625,2.95,2.0,3,8.5,4.928571428571429,0.9285714285714286,1.5,0.6428571428571429,0.21428571428571427,2.142857142857143,5.428571428571429,0.35714285714285715,2.642857142857143,1.6428571428571428,3.2857142857142856,0.6447767663632423,0.6907894736842105,105.04943502824858,0.0956498243717914,0.6190476190476191,0.1853813559322034,0.2,0.06578947368421052,0.4868421052631579,2.0066889632107023,1.1466794075489728,6.593406593406593,2.866698518872432,Elite,5,Poor,1,Average,3,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1924,4,Division I,batonrougecommunitycollege,Noah Whitehead,,,,Wing,,,16,2.6075,2.6,2.45,3,7.0625,2.5625,2.5,1.625,1.25,0.125,1.0,5.875,3.125,1.6875,0.375,2.1875,0.53362296939932,0.4946808510638298,85.6839551107067,0.09725376832541811,1.5384615384615385,0.19714892326357294,0.34,0.5319148936170213,0.2872340425531915,2.1693783896537338,1.835627868168544,3.4209428452231956,1.3350020859407592,Average,3,Poor,1,Poor,1,Very Good,4,Below Average,2,Very Good,4,Very Good,4,Elite,5,Very Good,4,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2137,5,Division I,batonrougecommunitycollege,Bryce Coleman,,,,Wing,,,19,2.5375000000000005,2.2500000000000004,2.75,3,11.736842105263158,5.315789473684211,0.8947368421052632,1.894736842105263,0.631578947368421,0.6842105263157895,1.736842105263158,10.105263157894736,1.0526315789473684,2.473684210526316,1.6842105263157894,3.6315789473684212,0.5242618017679143,0.4947916666666667,89.67347595303201,0.15448649454563526,0.4722222222222222,0.14476435579861668,0.2,0.10416666666666667,0.24479166666666666,2.536997885835095,1.7618040873854828,7.117688513037351,2.3255813953488373,Below Average,2,Average,3,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Very Good,4,Average,3,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
2152,6,Division I,batonrougecommunitycollege,Chad Jones,,,,Wing,,,13,2.5324999999999998,2.45,2.45,3,6.6923076923076925,4.076923076923077,1.2307692307692308,0.8461538461538461,0.9230769230769231,0.46153846153846156,1.8461538461538463,5.153846153846154,2.3846153846153846,2.6923076923076925,0.7692307692307693,3.3076923076923075,0.5279126213592232,0.5149253731343284,93.14775160599571,0.08669983662557551,1.4545454545454546,0.1177730192719486,0.2903225806451613,0.4626865671641791,0.5223880597014925,1.1464304325169359,1.8759770713913497,5.523710265763419,2.5013027618551327,Below Average,2,Poor,1,Poor,1,Average,3,Very Good,4,Below Average,2,Average,3,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2900,7,Division I,batonrougecommunitycollege,Jok Job,,,,Wing,,,12,2.325,2.35,2.0,3,3.0,1.1666666666666667,0.16666666666666666,0.5,0.4166666666666667,0.16666666666666666,0.9166666666666666,2.25,1.0,1.0,0.3333333333333333,0.8333333333333334,0.5576208178438662,0.48148148148148145,94.04388714733543,0.03854984894259818,0.3333333333333333,0.1567398119122257,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.6775832862789385,0.7905138339920948,1.5810276679841897,1.2422360248447204,Average,3,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2920,8,Division I,batonrougecommunitycollege,Kobe Jones,,,,Wing,,,7,2.325,2.35,2.0,3,1.5714285714285714,1.0,1.2857142857142858,0.2857142857142857,0.0,0.0,0.5714285714285714,1.5714285714285714,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.4464285714285714,0.45454545454545453,76.81564245810056,0.02320757163230909,4.5,0.13966480446927373,0.0,0.18181818181818182,0.2727272727272727,0.37243947858473,0.0,1.303538175046555,0.74487895716946,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Poor,1,Average,3,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3000,9,Division I,batonrougecommunitycollege,Ayden Warren,,,,Wing,,,12,2.3,2.3,2.0,3,3.1666666666666665,0.6666666666666666,0.75,0.3333333333333333,0.0,0.08333333333333333,0.5833333333333334,3.4166666666666665,2.8333333333333335,0.16666666666666666,0.0,0.6666666666666666,0.4536771728748806,0.45121951219512196,82.82476024411508,0.044304530881841706,2.25,0.08718395815170009,0.3235294117647059,0.8292682926829268,0.04878048780487805,0.4366812227074236,0.1091703056768559,0.8733624454148472,0.7641921397379913,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Average,3,Average,3,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3104,10,Division I,batonrougecommunitycollege,Tyrael- Cage Heke,,,,Wing,,,6,2.275,2.25,2.0,3,7.166666666666667,5.0,1.8333333333333333,1.5,0.0,1.0,2.1666666666666665,5.833333333333333,2.6666666666666665,2.3333333333333335,1.1666666666666667,3.8333333333333335,0.522351797862002,0.5,85.725677830941,0.09789227166276344,1.2222222222222223,0.17942583732057418,0.1875,0.45714285714285713,0.4,2.0044543429844097,1.3363028953229399,6.6815144766147,2.89532293986637,Below Average,2,Poor,1,Poor,1,Average,3,Below Average,2,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
