MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
138,1,Division II,ellsworthcommunitycollege,Alex Charlotin,3,Fr,G,Guard,6'4,180,13,3.635,3.9499999999999997,2.75,5,15.846153846153847,3.5384615384615383,5.3076923076923075,1.3076923076923077,1.3076923076923077,0.3076923076923077,1.5384615384615385,11.0,1.4615384615384615,5.538461538461538,0.9230769230769231,2.6153846153846154,0.5896496450652622,0.5979020979020979,107.47078464106845,0.15641728685206946,4.0588235294117645,0.08868948247078463,0.15789473684210525,0.13286713286713286,0.5034965034965035,1.5733456732993985,1.943544655252198,4.257288292457195,1.8509949097639982,Very Good,4,Below Average,2,Very Good,4,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Elite
154,2,Division II,ellsworthcommunitycollege,Eesher Singh Sarai,6,So,G/F,Wing,6'9,215,15,3.5949999999999998,3.45,3.2,5,10.266666666666667,5.8,0.7333333333333333,1.0,0.4,1.2666666666666666,1.7333333333333334,6.266666666666667,0.7333333333333333,4.0,2.4,3.4,0.6395348837209301,0.5957446808510638,113.7370753323486,0.0950815988314935,0.7333333333333333,0.11078286558345642,0.18181818181818182,0.11702127659574468,0.6382978723404256,1.2116316639741518,2.0193861066235863,7.0274636510500805,2.10016155088853,Elite,5,Poor,1,Very Good,4,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Average,3,Below Average,2,Elite,5,Elite,5,Elite
201,3,Division II,ellsworthcommunitycollege,Jonovan Wilkinson,23,So,G,Guard,6'2,215,15,3.5075,3.9,2.75,4,10.2,3.066666666666667,3.066666666666667,1.1333333333333333,0.8666666666666667,0.5333333333333333,1.3333333333333333,6.866666666666666,2.6666666666666665,3.533333333333333,0.6,2.466666666666667,0.6056048131728943,0.529126213592233,106.75411666201508,0.1006432403584169,2.7058823529411766,0.11861568518001675,0.325,0.3883495145631068,0.5145631067961165,1.3731825525040389,1.6962843295638126,3.715670436187399,1.615508885298869,Elite,5,Poor,1,Average,3,Elite,5,Elite,5,Average,3,Average,3,Very Good,4,Elite,5,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Very Good
427,4,Division II,ellsworthcommunitycollege,Ryland Ubben,20,RS Fr,G/F,Wing,6'6,205,11,3.2500000000000004,3.9000000000000004,2.0,4,2.727272727272727,1.4545454545454546,0.5454545454545454,0.2727272727272727,0.09090909090909091,0.0,0.36363636363636365,1.8181818181818181,1.0,0.36363636363636365,0.7272727272727273,0.7272727272727273,0.6893382352941176,0.675,121.16316639741518,0.02315143808205857,2.0,0.12116316639741517,0.45454545454545453,0.55,0.2,0.32751091703056767,0.1091703056768559,1.7467248908296944,0.4366812227074236,Elite,5,Poor,1,Elite,5,Elite,5,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
775,5,Division II,ellsworthcommunitycollege,Tanner Berggren,33,So,G/F,Wing,6'5,190,15,3.0324999999999998,3.45,2.45,3,10.866666666666667,2.933333333333333,1.2,1.4,0.9333333333333333,0.26666666666666666,1.1333333333333333,8.133333333333333,6.733333333333333,1.5333333333333334,0.4,2.533333333333333,0.6168634574629125,0.5778688524590164,106.45245559038662,0.10752506952051909,0.8571428571428571,0.1371473354231975,0.36633663366336633,0.8278688524590164,0.1885245901639344,1.6962843295638126,1.4539579967689822,3.5541195476575123,1.3731825525040389,Elite,5,Poor,1,Average,3,Below Average,2,Very Good,4,Very Good,4,Elite,5,Elite,5,Average,3,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Average
891,6,Division II,ellsworthcommunitycollege,Jacob Khounsourath,14,RS Fr,G,Guard,6'2,170,9,2.9575,3.25,2.2,4,6.333333333333333,1.6666666666666667,0.5555555555555556,1.1111111111111112,0.5555555555555556,0.1111111111111111,1.5555555555555556,4.222222222222222,3.2222222222222223,0.4444444444444444,0.2222222222222222,1.4444444444444444,0.7168008048289739,0.6973684210526315,114.54983922829582,0.058414725770097674,0.5,0.2009646302250804,0.4482758620689655,0.7631578947368421,0.10526315789473684,1.335113484646195,0.8010680907877169,2.0026702269692924,1.8691588785046729,Elite,5,Poor,1,Elite,5,Poor,1,Below Average,2,Elite,5,Average,3,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
975,7,Division II,ellsworthcommunitycollege,Jayden Pretty,11,So,F,Wing,6'7,230,15,2.9250000000000003,2.9000000000000004,2.5,4,10.4,6.266666666666667,2.466666666666667,1.6666666666666667,0.8666666666666667,0.4666666666666667,2.6,7.4,0.4666666666666667,3.066666666666667,1.4666666666666666,4.8,0.5943309966473636,0.5495495495495496,99.84639016897081,0.10971601921294347,1.48,0.16001024065540193,0.0,0.06306306306306306,0.4144144144144144,2.0193861066235863,1.615508885298869,7.592891760904685,3.150242326332795,Very Good,4,Poor,1,Below Average,2,Average,3,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Below Average,2,Below Average,2,Very Good,4,Elite,5,Very Good
1060,8,Division II,ellsworthcommunitycollege,Rav Randhawa,1,So,G,Guard,6'3,190,14,2.8750000000000004,3.1000000000000005,2.2,4,9.214285714285714,2.642857142857143,4.785714285714286,1.2142857142857142,0.5714285714285714,0.0,0.5,7.5,3.9285714285714284,2.5,0.2857142857142857,2.357142857142857,0.5357142857142857,0.4857142857142857,93.88646288209607,0.10390199637023595,3.9411764705882355,0.12372634643377001,0.2909090909090909,0.5238095238095238,0.3333333333333333,1.4712245781047166,0.6923409779316313,3.202077022933795,0.6057983556901774,Average,3,Poor,1,Below Average,2,Elite,5,Very Good,4,Below Average,2,Very Good,4,Elite,5,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
1104,9,Division II,ellsworthcommunitycollege,Collins Ngondu,15,Fr,G,Guard,6'1,185,7,2.8575,3.2500000000000004,2.2,3,2.857142857142857,0.8571428571428571,1.1428571428571428,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.14285714285714285,1.7142857142857142,1.0,0.8571428571428571,0.2857142857142857,0.5714285714285714,0.6830601092896175,0.625,107.29613733905579,0.02776122959609198,2.0,0.2145922746781116,0.42857142857142855,0.5833333333333334,0.5,0.6890611541774333,0.5167958656330749,1.0335917312661498,0.17226528854435832,Elite,5,Poor,1,Very Good,4,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Average
1129,10,Division II,ellsworthcommunitycollege,Chase Low,5,RS So,G/F,Wing,6'6,185,15,2.85,3.0999999999999996,2.0,4,6.4,3.4,0.6,0.8666666666666667,0.5333333333333333,0.0,1.5333333333333334,4.4,0.4666666666666667,1.9333333333333333,1.2,2.2,0.6094464195022854,0.5833333333333334,104.6207497820401,0.06443639223617315,0.6923076923076923,0.14167393199651263,0.42857142857142855,0.10606060606060606,0.4393939393939394,1.050080775444265,0.6462035541195477,4.119547657512117,1.8578352180936994,Elite,5,Poor,1,Average,3,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
