MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
587,1,Division II,dakotacollegeatbottineau,Elijah Reynolds,,,,Wing,,,15,3.1325000000000003,3.65,2.45,3,10.133333333333333,2.0,2.4,1.4666666666666666,1.4,0.06666666666666667,1.0,7.133333333333334,3.3333333333333335,1.8,0.4666666666666667,1.5333333333333334,0.6393001345895021,0.602803738317757,107.89324247586599,0.10686328053886764,1.6363636363636365,0.15616127200454288,0.42,0.4672897196261682,0.2523364485981308,1.9572953736654803,1.9572953736654803,2.6690391459074734,1.3345195729537367,Elite,5,Poor,1,Average,3,Very Good,4,Average,3,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
631,2,Division II,dakotacollegeatbottineau,Damjan Tapuskovic,,,,Wing,,,13,3.1050000000000004,3.7,2.3,3,12.0,6.384615384615385,1.0,1.1538461538461537,0.38461538461538464,0.6923076923076923,1.3846153846153846,8.076923076923077,1.3076923076923077,2.230769230769231,3.076923076923077,3.3076923076923075,0.6623641304347826,0.638095238095238,117.50527267249173,0.10817064824169734,0.8666666666666667,0.11298583910816512,0.35294117647058826,0.1619047619047619,0.2761904761904762,1.4347202295552368,1.3390722142515543,7.938785270205643,1.721664275466284,Elite,5,Poor,1,Elite,5,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Very Good,4,Elite,5,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
807,3,Division II,dakotacollegeatbottineau,Edward Lual,,,,Wing,,,14,3.0125,3.2,2.75,3,12.214285714285714,6.357142857142857,1.7857142857142858,1.4285714285714286,1.0,0.35714285714285715,1.2142857142857142,9.785714285714286,1.0,1.5714285714285714,2.5,3.857142857142857,0.582901554404145,0.5583941605839416,102.59179265658747,0.12643364281813216,1.25,0.11999040076793856,0.21428571428571427,0.10218978102189781,0.16058394160583941,1.7793594306049823,1.690391459074733,7.918149466192171,1.5124555160142348,Very Good,4,Below Average,2,Average,3,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Average,3,Very Good,4,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
831,4,Division II,dakotacollegeatbottineau,Ian Mena Monllor,,,,Wing,,,8,3.0,3.6999999999999997,2.0,3,2.5,1.0,0.0,0.125,0.125,0.0,0.375,1.75,0.5,0.5,0.375,0.625,0.6345177664974619,0.6428571428571429,119.33174224343676,0.02140157319440188,0.0,0.05966587112171839,0.5,0.2857142857142857,0.2857142857142857,0.15408320493066255,0.15408320493066255,1.2326656394453004,0.4622496147919877,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Very Good,4,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1169,5,Division II,dakotacollegeatbottineau,MarQuez Tyree,,,,Wing,,,15,2.8324999999999996,3.05,2.45,3,9.066666666666666,5.133333333333334,0.6,1.0,1.2666666666666666,0.26666666666666666,1.6666666666666667,6.333333333333333,0.4666666666666667,3.2,2.066666666666667,3.066666666666667,0.5856011023079573,0.5947368421052631,103.72178157413056,0.09286908235827407,0.6,0.11439902379499695,0.14285714285714285,0.07368421052631578,0.5052631578947369,1.2448132780082988,1.9087136929460582,6.390041493775934,2.074688796680498,Very Good,4,Poor,1,Average,3,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1203,6,Division II,dakotacollegeatbottineau,Moustapha Diomande,,,,Wing,,,15,2.8150000000000004,2.7,2.9000000000000004,3,8.066666666666666,4.2,1.7333333333333334,1.4666666666666666,0.9333333333333333,0.6,1.9333333333333333,6.666666666666667,2.066666666666667,2.1333333333333333,0.6666666666666666,3.533333333333333,0.5303295932678822,0.505,88.91828336272782,0.10322228290551609,1.1818181818181819,0.16166960611405057,0.3548387096774194,0.31,0.32,1.9572953736654803,2.0462633451957295,5.604982206405694,2.580071174377224,Average,3,Poor,1,Poor,1,Average,3,Average,3,Very Good,4,Average,3,Very Good,4,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1466,7,Division II,dakotacollegeatbottineau,Jaden Arzola,,,,Wing,,,15,2.715,2.5,2.9000000000000004,3,9.266666666666667,3.0,2.7333333333333334,1.6,1.4,0.13333333333333333,2.2,8.333333333333334,4.933333333333334,1.2666666666666666,0.26666666666666666,2.7333333333333334,0.5211457708458308,0.504,88.33248601931875,0.11936403908004126,1.7083333333333333,0.1525165226232842,0.35135135135135137,0.592,0.152,2.1352313167259784,2.0462633451957295,4.00355871886121,2.9359430604982206,Below Average,2,Poor,1,Poor,1,Very Good,4,Average,3,Very Good,4,Elite,5,Elite,5,Average,3,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2139,8,Division II,dakotacollegeatbottineau,Declan Armour,,,,Wing,,,13,2.45,2.6000000000000005,2.0,3,2.230769230769231,1.4615384615384615,1.3076923076923077,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.7692307692307693,1.9230769230769231,1.3076923076923077,0.5384615384615384,0.07692307692307693,1.3846153846153846,0.5163817663817664,0.5,90.3990024937656,0.028005726856863495,4.25,0.12468827930174564,0.29411764705882354,0.68,0.28,0.41237113402061853,0.30927835051546393,1.958762886597938,1.0309278350515463,Below Average,2,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2304,9,Division II,dakotacollegeatbottineau,Kayde McKeon,,,,Wing,,,15,2.4,2.5,2.0,3,4.533333333333333,1.0,1.4666666666666666,0.6666666666666666,1.0,0.0,1.3333333333333333,4.466666666666667,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.4358974358974359,0.40298507462686567,77.27272727272727,0.06662225183211191,2.2,0.11363636363636363,0.2,0.29850746268656714,0.373134328358209,0.8877052818464269,1.3315579227696406,1.3315579227696406,1.7754105636928539,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2436,10,Division II,dakotacollegeatbottineau,Brandon Selig,,,,Wing,,,13,2.3625,2.5999999999999996,1.75,3,6.153846153846154,5.153846153846154,0.6153846153846154,1.4615384615384615,0.23076923076923078,0.0,2.769230769230769,4.153846153846154,0.6923076923076923,1.9230769230769231,2.076923076923077,3.076923076923077,0.6153846153846154,0.5925925925925926,95.23809523809524,0.0684418081673891,0.42105263157894735,0.2261904761904762,0.2222222222222222,0.16666666666666666,0.46296296296296297,1.8173122907699666,0.28694404591104733,6.408417025346724,3.443328550932568,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
