MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
235,1,Division II,macombcommunitycollege,Caron Williams,22,,,Wing,6'4,,10,3.5,4.7,2.0,3,13.4,4.6,1.9,0.9,0.9,0.0,1.3,9.4,4.5,3.2,0.4,4.2,0.6199111769059956,0.5638297872340425,114.45165698667577,0.13925495979827776,2.111111111111111,0.07687051588657329,0.4,0.4787234042553192,0.3404255319148936,1.2170385395537526,1.2170385395537526,6.220419202163624,1.7579445571331982,Elite,5,Below Average,2,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Average
493,2,Division II,macombcommunitycollege,Malachi Irving,10,,,Wing,6'5,,10,3.2625,3.35,3.25,3,14.1,6.5,1.1,2.3,0.9,0.6,2.5,9.0,1.6,5.1,1.6,4.9,0.6270010672358591,0.5722222222222222,104.10513880685174,0.1610923450211713,0.4782608695652174,0.1698168930891908,0.4375,0.17777777777777778,0.5666666666666667,3.110209601081812,2.028397565922921,8.78972278566599,3.3806626098715347,Elite,5,Average,3,Average,3,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Average,3,Average,3,Very Good,4,Very Good,4,Average
609,3,Division II,macombcommunitycollege,Donald Wilburn,1,,,Wing,6'3,,9,3.1724999999999994,3.3999999999999995,3.35,2,13.11111111111111,4.888888888888889,1.2222222222222223,2.0,1.3333333333333333,0.8888888888888888,1.6666666666666667,9.0,2.0,2.4444444444444446,0.7777777777777778,4.111111111111111,0.6506396118217909,0.6358024691358025,108.57563489142436,0.14426804014230343,0.6111111111111112,0.16562384983437614,0.2777777777777778,0.2222222222222222,0.2716049382716049,2.70473328324568,3.005259203606311,6.6115702479338845,2.2539444027047333,Elite,5,Below Average,2,Very Good,4,Poor,1,Average,3,Insufficient Volume,3,Average,3,Average,3,Very Good,4,Elite,5,Very Good,4,Poor,1,Elite,5,Very Good,4,Below Average
1243,4,Division II,macombcommunitycollege,Lajuan Holloway,24,,,Wing,6'7,,11,2.8575000000000004,3.1500000000000004,1.95,4,14.181818181818182,4.7272727272727275,3.8181818181818183,2.4545454545454546,0.7272727272727273,0.36363636363636365,3.090909090909091,11.272727272727273,3.1818181818181817,4.0,1.6363636363636365,3.090909090909091,0.5440848214285714,0.5201612903225806,91.57079126555529,0.18171345677958872,1.5555555555555556,0.15848790795961493,0.42857142857142855,0.28225806451612906,0.3548387096774194,3.3007334963325183,1.466992665036675,6.356968215158925,4.156479217603912,Average,3,Average,3,Poor,1,Very Good,4,Average,3,Elite,5,Very Good,4,Very Good,4,Elite,5,Average,3,Below Average,2,Poor,1,Average,3,Very Good,4,Very Good
1613,5,Division II,macombcommunitycollege,Tabari Howard,3,,,Wing,6'3,,12,2.7249999999999996,2.4000000000000004,3.5,2,8.5,7.5,3.5,1.8333333333333333,1.75,0.08333333333333333,1.6666666666666667,7.083333333333333,1.75,3.0833333333333335,1.5833333333333333,5.916666666666667,0.5035545023696683,0.4588235294117647,82.73848150551589,0.12074436826640549,1.9090909090909092,0.17845554834523036,0.19047619047619047,0.24705882352941178,0.43529411764705883,2.4649859943977592,2.4649859943977592,10.084033613445378,2.2408963585434174,Below Average,2,Below Average,2,Poor,1,Very Good,4,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Below Average,2,Average,3,Average,3,Elite,5,Elite,5,Below Average
2403,6,Division II,macombcommunitycollege,Justin Gloster,15,,,Wing,6'5,,7,2.4499999999999997,2.5999999999999996,2.0,3,2.5714285714285716,3.7142857142857144,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.5714285714285714,0.42857142857142855,1.7142857142857142,0.2857142857142857,0.8571428571428571,0.8571428571428571,2.857142857142857,0.6147540983606558,0.5833333333333334,96.56652360515021,0.030142302716688225,0.75,0.2145922746781116,0.0,0.16666666666666666,0.5,0.746268656716418,0.9328358208955224,4.850746268656716,0.5597014925373134,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Average
2723,7,Division II,macombcommunitycollege,Brighton Birangui-Booto,20,,,Wing,6'4,,9,2.35,2.4000000000000004,2.0,3,4.222222222222222,2.111111111111111,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.1111111111111111,1.1111111111111112,3.3333333333333335,0.2222222222222222,1.2222222222222223,1.5555555555555556,0.5555555555555556,0.5453501722158438,0.5333333333333333,93.0460333006856,0.05397547050116303,1.0,0.14691478942213515,0.0,0.06666666666666667,0.36666666666666664,0.91324200913242,0.91324200913242,2.8919330289193304,1.5220700152207,Average,3,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Average
2975,8,Division II,macombcommunitycollege,Keithan Gilmore,4,,,Wing,6'5,,9,2.2874999999999996,1.75,2.75,3,6.888888888888889,5.111111111111111,1.2222222222222223,1.6666666666666667,0.3333333333333333,0.7777777777777778,2.111111111111111,5.888888888888889,1.0,1.6666666666666667,0.8888888888888888,4.222222222222222,0.5201342281879194,0.5,83.10991957104558,0.10050657469282172,0.7333333333333333,0.20107238605898126,0.1111111111111111,0.16981132075471697,0.2830188679245283,2.314814814814815,1.5432098765432098,7.098765432098766,2.932098765432099,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Very Good,4,Average,3,Below Average,2,Below Average,2,Elite,5,Elite,5,Average
3388,9,Division II,macombcommunitycollege,Simon Stockwell,23,,,Wing,6'7,,11,2.175,1.75,2.0,4,3.4545454545454546,2.5454545454545454,0.09090909090909091,0.8181818181818182,0.18181818181818182,0.2727272727272727,1.4545454545454546,3.090909090909091,0.0,1.6363636363636365,1.4545454545454546,1.0909090909090908,0.4532442748091603,0.38235294117647056,74.6268656716418,0.05515358953251592,0.1111111111111111,0.1767478397486253,,0.0,0.5294117647058824,1.1194029850746268,0.6218905472636815,3.482587064676617,1.9900497512437811,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
3860,10,Division II,macombcommunitycollege,Daniel Sotero-Martinez,14,,,Wing,6'4,,6,2.05,1.8,2.0,3,1.5,3.1666666666666665,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.3333333333333333,1.1666666666666667,3.0,1.0,1.1666666666666667,1.5,1.6666666666666667,0.21347248576850097,0.1111111111111111,34.50920245398773,0.049118577670634316,0.4,0.19171779141104295,0.0,0.3333333333333333,0.3888888888888889,1.0822510822510822,1.2987012987012987,4.112554112554113,1.5151515151515151,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Average
